"Time [ms]","Moving1.Torque [NewtonMeter]"
74.1600000000039,123.388870573748
74.1700000000039,123.455605588765
74.1800000000039,123.508767311522
74.1900000000039,123.535234060357
74.2000000000039,123.528161714314
74.2100000000039,123.552134254102
74.2200000000039,123.648354392139
74.2300000000039,123.701961486291
74.2400000000039,123.725395021045
74.2500000000039,123.741944438441
74.2600000000039,123.776369941814
74.2700000000039,123.834163120279
74.2800000000039,123.914407866632
74.2900000000039,124.009176286874
74.3000000000039,124.11271222138
74.3100000000039,124.21111014442
74.3200000000039,124.306706858111
74.3300000000039,124.423060625793
74.3400000000039,124.565653194907
74.3500000000039,124.72718306945
74.3600000000039,124.875085300722
74.3700000000039,124.997694403679
74.3800000000039,125.068779847465
74.3900000000039,125.061027075141
74.4000000000039,124.968120607609
74.4100000000038,124.951723590297
74.4200000000038,125.005882395171
74.4300000000038,124.985157811707
74.4400000000038,124.891758783645
74.4500000000038,124.746865707793
74.4600000000038,124.595295281829
74.4700000000038,124.423334501085
74.4800000000038,124.268998179847
74.4900000000038,124.149426788569
74.5000000000038,124.049476220029
74.5100000000038,123.911868810732
74.5200000000038,123.756206004813
74.5300000000038,123.621110299436
74.5400000000038,123.510571080797
74.5500000000038,123.409548298346
74.5600000000038,123.28499118282
74.5700000000038,123.136383495611
74.5800000000038,122.956945455296
74.5900000000038,122.752565139124
74.6000000000038,122.537355376531
74.6100000000038,122.399133097071
74.6200000000038,122.299434226885
74.6300000000038,122.200696316432
74.6400000000038,122.101949048972
74.6500000000038,122.004981392676
74.6600000000038,121.90586298671
74.6700000000037,121.809926716967
74.6800000000037,121.721573723277
74.6900000000037,121.633029079739
74.7000000000037,121.53989008869
74.7100000000037,121.432146253346
74.7200000000037,121.316289968617
74.7300000000037,121.205767868206
74.7400000000037,121.116049020858
74.7500000000037,121.058897745653
74.7600000000037,121.021085342678
74.7700000000037,120.98825497586
74.7800000000037,120.946922074024
74.7900000000037,120.885858652764
74.8000000000037,120.798272458091
74.8100000000037,120.771095833465
74.8200000000037,120.738711098672
74.8300000000037,120.679575396887
74.8400000000037,120.592802106168
74.8500000000037,120.488009319458
74.8600000000037,120.374167911111
74.8700000000037,120.271664046827
74.8800000000037,120.194552446377
74.8900000000037,120.133781504697
74.9000000000037,120.07621348721
74.9100000000037,120.019554585247
74.9200000000037,119.983436491119
74.9300000000036,119.980541705606
74.9400000000036,120.009174923661
74.9500000000036,120.045198990162
74.9600000000036,120.043195767407
74.9700000000036,120.009852060854
74.9800000000036,119.9565564582
74.9900000000036,119.900314352847
75.0000000000036,119.852610052715
75.0100000000036,119.991077321101
75.0200000000036,120.113712495131
75.0300000000036,120.216457935476
75.0400000000036,120.303875959872
75.0500000000036,120.396778984511
75.0600000000036,120.512832391366
75.0700000000036,120.672354834374
75.0800000000036,120.869146913681
75.0900000000036,121.086687284198
75.1000000000036,121.304086911126
75.1100000000036,121.485046708905
75.1200000000036,121.68570917306
75.1300000000036,121.920989983735
75.1400000000036,122.193388516539
75.1500000000036,122.473035457329
75.1600000000036,122.697678963141
75.1700000000036,122.906745847025
75.1800000000036,123.0659767845
75.1900000000035,123.157069602041
75.2000000000035,123.217447057294
75.2100000000035,123.417787655181
75.2200000000035,123.533743768734
75.2300000000035,123.578692477426
75.2400000000035,123.572595909438
75.2500000000035,123.563875899516
75.2600000000035,123.59571776378
75.2700000000035,123.605733125096
75.2800000000035,123.620155387249
75.2900000000035,123.630567309807
75.3000000000035,123.623166769637
75.3100000000035,123.590552995952
75.3200000000035,123.544972023124
75.3300000000035,123.51546186483
75.3400000000035,123.52752755965
75.3500000000035,123.574590597873
75.3600000000035,123.612426703747
75.3700000000035,123.639406452789
75.3800000000035,123.6476078086
75.3900000000035,123.627391618382
75.4000000000035,123.604413501849
75.4100000000035,123.626097834089
75.4200000000035,123.630751530243
75.4300000000035,123.631593073256
75.4400000000034,123.637197813852
75.4500000000034,123.654672157051
75.4600000000034,123.682935304206
75.4700000000034,123.725001165623
75.4800000000034,123.768870269155
75.4900000000034,123.794061210505
75.5000000000034,123.789265266099
75.5100000000034,123.769688918194
75.5200000000034,123.744194767628
75.5300000000034,123.70936957194
75.5400000000034,123.657260750277
75.5500000000034,123.586097213167
75.5600000000034,123.494437795106
75.5700000000034,123.386832744656
75.5800000000034,123.275938009181
75.5900000000034,123.166377237141
75.6000000000034,123.107038483657
75.6100000000034,123.069195114988
75.6200000000034,123.005280278325
75.6300000000034,122.942634834879
75.6400000000034,122.899923170695
75.6500000000034,122.883209288145
75.6600000000034,122.896704696053
75.6700000000034,122.938957914672
75.6800000000034,122.984306434303
75.6900000000034,123.002765891822
75.7000000000033,122.992418321241
75.7100000000033,122.975669158937
75.7200000000033,122.954957764573
75.7300000000033,122.937636570377
75.7400000000033,122.929101777299
75.7500000000033,122.931950481612
75.7600000000033,122.931275484318
75.7700000000033,122.921632415689
75.7800000000033,122.903646747631
75.7900000000033,122.870810535118
75.8000000000033,122.895584245176
75.8100000000033,122.94549918119
75.8200000000033,122.989105005798
75.8300000000033,123.032410430684
75.8400000000033,123.071563634279
75.8500000000033,123.095477251104
75.8600000000033,123.12558809599
75.8700000000033,123.167976314594
75.8800000000033,123.206138773492
75.8900000000033,123.219471248327
75.9000000000033,123.255553394487
