"Time [ms]","InducedVoltage(PhaseA) [V]"
61.7900000000082,190.14410442925
61.8000000000083,189.406246265316
61.8100000000083,188.720434972708
61.8200000000083,188.148783994802
61.8300000000083,187.600479189275
61.8400000000083,187.124184544184
61.8500000000083,186.665928489964
61.8600000000083,186.23307783716
61.8700000000083,185.673931297406
61.8800000000083,185.081413017908
61.8900000000083,184.589391799191
61.9000000000083,184.191839903615
61.9100000000083,183.542766600778
61.9200000000083,182.837318441481
61.9300000000083,182.413084449916
61.9400000000083,181.990483381149
61.9500000000083,181.590407672187
61.9600000000083,181.290608574519
61.9700000000083,180.82996521977
61.9800000000083,180.176593258516
61.9900000000083,179.495027020206
62.0000000000083,178.848278468684
62.0100000000083,178.326991879589
62.0200000000083,177.817676663722
62.0300000000083,177.214898662473
62.0400000000083,176.529326153817
62.0500000000083,175.751054493041
62.0600000000083,174.880985483171
62.0700000000083,174.112635922577
62.0800000000083,173.447146183635
62.0900000000083,172.82604393441
62.1000000000083,172.207402656517
62.1100000000083,171.267090961109
62.1200000000083,170.496861869637
62.1300000000084,169.788866412369
62.1400000000084,168.982128093251
62.1500000000084,168.097652170328
62.1600000000084,167.069708332541
62.1700000000084,166.066250766501
62.1800000000084,165.080824971534
62.1900000000084,164.111034571171
62.2000000000084,163.168293628496
62.2100000000084,162.245853346787
62.2200000000084,161.335651799221
62.2300000000084,160.393530586347
62.2400000000084,159.42451425385
62.2500000000084,158.486986149056
62.2600000000084,157.645589276759
62.2700000000084,156.69589913602
62.2800000000084,155.57024617758
62.2900000000084,154.326317130998
62.3000000000084,153.125116620609
62.3100000000084,152.122889506157
62.3200000000084,151.113498638572
62.3300000000084,150.045320865691
62.3400000000084,148.975236801285
62.3500000000084,147.958633591341
62.3600000000084,146.867734486694
62.3700000000084,145.903026403474
62.3800000000084,144.806689856253
62.3900000000084,143.697668057369
62.4000000000084,142.636838361679
62.4100000000084,141.770869389657
62.4200000000084,140.828218905456
62.4300000000084,139.802190503627
62.4400000000084,138.653268953945
62.4500000000085,137.385996246395
62.4600000000085,136.248747593429
62.4700000000085,135.163908561942
62.4800000000085,134.15471878766
62.4900000000085,133.185292756502
62.5000000000085,132.24162435273
62.5100000000085,131.1205562325
62.5200000000085,130.20113994317
62.5300000000085,129.188409432218
62.5400000000085,128.095156938224
62.5500000000084,126.969843825128
62.5600000000084,125.843407550585
62.5700000000084,124.883894368463
62.5800000000084,123.788380914164
62.5900000000084,122.606093444552
