"Time [ms]","InducedVoltage(M1PhA) [V]","InducedVoltage(M1PhB) [V]","InducedVoltage(M1PhC) [V]"
29.0500000000003,-66.6697654100207,-36.9931664138301,102.132456264919
29.1000000000003,-64.135071024406,-40.074020523681,102.777394366386
29.1500000000003,-61.5632142883177,-43.0451172188589,103.276527121292
29.2000000000003,-58.9350071232686,-45.8845136590114,103.584152321475
29.2500000000003,-56.1610098436766,-48.7804998570523,103.720164378072
29.3000000000003,-53.3972471461613,-51.5474111567138,103.677458015547
29.3500000000003,-50.6168040202537,-54.3215348846821,103.619431831538
29.4000000000003,-47.8252920191996,-57.0392271611053,103.639961102914
29.4500000000003,-44.9463809827505,-59.8102310871429,103.498879865698
29.5000000000003,-42.0288023424259,-62.4665648843481,103.127200430226
29.5500000000003,-39.0595248690273,-65.0306963884723,102.617120085714
29.6000000000003,-36.0152968969762,-67.492345506189,102.014820104728
29.6500000000003,-32.8859118464464,-69.9651848050545,101.224769816271
29.7000000000003,-29.751268855327,-72.3639364082965,100.338069684637
29.7500000000003,-26.5775305430321,-74.7558435097179,99.4638589675913
29.8000000000003,-23.5051707217299,-77.0633224015221,98.7649453417386
29.8500000000003,-20.1778572270578,-79.2723619122326,97.7940957262395
29.9000000000003,-16.8797055568148,-81.354137630261,96.7424133661567
29.9500000000003,-13.5089646043107,-83.3155340603048,95.5623122994094
30.0000000000003,-10.2826895179059,-85.2616292562128,94.3544814688482
30.0500000000003,-6.77490791518631,-87.0137230460788,93.0464715406173
30.1000000000003,-3.37281296117375,-88.666578957019,91.6575318043389
30.1500000000004,-0.0283708609516431,-90.1699482355916,90.2565329961952
30.2000000000004,3.34861809872244,-91.696231763522,88.72114324634
30.2500000000004,6.76428554624187,-93.0243357179819,87.0813608377816
30.3000000000004,10.1119305461933,-94.3024373815063,85.2428602479674
30.3500000000004,13.5341976041636,-95.5249224975956,83.3400251761529
30.4000000000004,16.8388582642864,-96.7459316822707,81.3976720201048
30.4500000000004,20.1561633104519,-97.760983779676,79.2995132914273
30.5000000000004,23.3988924775902,-98.706378993474,77.0963842236721
