"Time [ms]","InducedVoltage(PhaseA) [V] - b='0.7'","InducedVoltage(PhaseA) [V] - b='0.72'","InducedVoltage(PhaseA) [V] - b='0.74'","InducedVoltage(PhaseA) [V] - b='0.76'","InducedVoltage(PhaseA) [V] - b='0.78'","InducedVoltage(PhaseA) [V] - b='0.8'","InducedVoltage(PhaseA) [V] - b='0.82'","InducedVoltage(PhaseA) [V] - b='0.84'","InducedVoltage(PhaseA) [V] - b='0.86'","InducedVoltage(PhaseA) [V] - b='0.88'","InducedVoltage(PhaseA) [V] - b='0.9'","InducedVoltage(PhaseB) [V] - b='0.7'","InducedVoltage(PhaseB) [V] - b='0.72'","InducedVoltage(PhaseB) [V] - b='0.74'","InducedVoltage(PhaseB) [V] - b='0.76'","InducedVoltage(PhaseB) [V] - b='0.78'","InducedVoltage(PhaseB) [V] - b='0.8'","InducedVoltage(PhaseB) [V] - b='0.82'","InducedVoltage(PhaseB) [V] - b='0.84'","InducedVoltage(PhaseB) [V] - b='0.86'","InducedVoltage(PhaseB) [V] - b='0.88'","InducedVoltage(PhaseB) [V] - b='0.9'","InducedVoltage(PhaseC) [V] - b='0.7'","InducedVoltage(PhaseC) [V] - b='0.72'","InducedVoltage(PhaseC) [V] - b='0.74'","InducedVoltage(PhaseC) [V] - b='0.76'","InducedVoltage(PhaseC) [V] - b='0.78'","InducedVoltage(PhaseC) [V] - b='0.8'","InducedVoltage(PhaseC) [V] - b='0.82'","InducedVoltage(PhaseC) [V] - b='0.84'","InducedVoltage(PhaseC) [V] - b='0.86'","InducedVoltage(PhaseC) [V] - b='0.88'","InducedVoltage(PhaseC) [V] - b='0.9'"
2.86000000000001,204.871886774846,205.24886557422,205.805509650861,206.033977980846,206.307950716075,206.57105405775,206.791551482927,206.992940759798,207.020607173705,207.315459050889,207.479956388779,-20.3553483297259,-20.7181408843904,-20.836071272734,-21.2188708069772,-21.5016129298973,-21.748712986569,-21.9965639071062,-22.2080633111854,-22.5372993392037,-22.5501908496184,-22.5871042623282,-192.956214035561,-192.846335992058,-192.527306381263,-192.513642610381,-192.427563652989,-192.346986795588,-192.27850750772,-192.222308572307,-192.309036780255,-192.111049621121,-192.01909833412
2.87000000000001,204.284703056609,204.544510620472,204.978688148202,205.323810050309,205.59607396074,205.777536966831,206.070734043998,206.191892893665,206.327669343639,206.557498426038,206.785406189608,-18.8066208815951,-19.2899337966956,-19.5325376803501,-19.8004880121949,-20.0858015515226,-20.4142600371382,-20.5921636499462,-20.8845576413375,-21.107504016793,-21.1847581301883,-21.1598838553206,-193.691475933305,-193.702705727322,-193.511204306257,-193.382573585799,-193.300714574562,-193.302422263891,-193.165046682386,-193.190619596487,-193.17222403003,-193.040002536007,-192.885769522577
2.88000000000001,203.689868789197,203.921441449176,204.339194824907,204.684910008832,205.120825149899,205.216313290182,205.35345725668,205.544164496096,205.771950571024,205.891230222968,206.140639488564,-17.2586412317932,-17.772030150992,-18.032276710811,-18.301381209751,-18.4216305995966,-18.8412763550694,-19.1733194244315,-19.3979187697924,-19.5290661269776,-19.7176895189277,-19.6730716028881,-194.421805751657,-194.464304152953,-194.291616106826,-194.165638568342,-193.922516225495,-194.011208186987,-194.031944760623,-193.991066887181,-193.882567766357,-193.862092342234,-193.687865545403
2.89000000000001,203.117644615275,203.310783294339,203.68206944078,203.931289553008,204.350821272845,204.799624861604,204.725825857383,204.933556275216,205.150335004847,205.273144249329,205.380556581988,-15.6759195775569,-16.2297504950837,-16.5375848643068,-16.9048061767041,-17.0425626385806,-17.1086078430582,-17.6538867574516,-17.8619441329686,-18.0052128518515,-18.191046351318,-18.288198272709,-195.110903762072,-195.194968010384,-195.071473488334,-195.046449116792,-194.821706438286,-194.55632801251,-194.791737337435,-194.735495582868,-194.639796998194,-194.617207852063,-194.585103856401
2.90000000000001,202.53963754642,202.736569209688,203.083112577188,203.37617833989,203.777194399193,203.991238525597,204.380842118781,204.416104521204,204.627516127837,204.740830334108,204.979134552694,-14.0871734667591,-14.6393022302183,-14.973130622864,-15.2976239917502,-15.4548593411574,-15.7571459828532,-15.8374140122819,-16.2215946164113,-16.3711471071359,-16.5677533113029,-16.5317694176381,-195.786848351036,-195.870533350423,-195.77461301406,-195.707615435875,-195.504545600239,-195.476757132865,-195.250451938628,-195.368377918034,-195.279762715131,-195.268161645243,-195.106316645727
2.91000000000001,201.834666910392,201.977753927629,202.302062460905,202.581779449826,202.928030318555,203.274429992348,203.397874359953,203.551332518601,203.788232086582,203.957340444461,204.078264176133,-12.6210191625287,-13.2286980126795,-13.5861909480672,-13.92527632465,-14.1375292404988,-14.3108207836473,-14.6580428319887,-14.9244610232357,-15.0489768495021,-15.1907170055032,-15.2740198772872,-196.574680997132,-196.715284292318,-196.644711697105,-196.593723845939,-196.446973324155,-196.2897475449,-196.334974626652,-196.335951174137,-196.223068755302,-196.155933815373,-196.115188972407
2.92000000000001,201.185793344552,201.303562069355,201.583784313644,201.792870836748,202.189989355511,202.512637438734,202.706768729105,202.84924102468,203.074533425149,203.299998425779,203.355595833482,-11.0934260466711,-11.7287046898396,-12.1315238201691,-12.5416635157582,-12.7054442840335,-12.9046325541282,-13.1811176292906,-13.4598316922752,-13.5963950902929,-13.6804097509491,-13.8320771374545,-197.291016236506,-197.460511713284,-197.437009967788,-197.45824803704,-197.264941621009,-197.133541377592,-197.109837514797,-197.124328463658,-197.025180562155,-196.905520234872,-196.929618419389
2.93000000000001,200.793373696209,200.952689766515,201.254071946425,201.575025159048,201.887876827198,202.134393319686,202.441318411134,202.675288508242,202.902238533056,203.140860517614,203.101814598711,-9.29328870278856,-9.88911025409656,-10.2722799939114,-10.573241588685,-10.821985411319,-11.097775163027,-11.2636331234039,-11.4523507164954,-11.5886252794795,-11.6602475306593,-11.9069964170326,-197.731098695458,-197.862520306412,-197.820731960242,-197.734217441962,-197.628489160122,-197.576832222038,-197.441585603578,-197.365639592254,-197.266875967536,-197.134958630782,-197.256420089226
2.94000000000001,200.276190431767,200.501884067159,200.867214577757,201.19972228376,201.517441667567,201.737382912692,202.092463661924,202.34137486779,202.569520693305,202.891269462815,202.788640358473,-7.6086458875857,-8.14082247595493,-8.46230117794722,-8.7530747484077,-8.99778076708935,-9.30074536076853,-9.42044556066501,-9.59581164740042,-9.73232059061635,-9.72114917028866,-10.0325267186896,-198.280158279603,-198.349180470761,-198.247160622944,-198.151850270793,-198.044238208554,-198.022220306041,-197.840717243745,-197.751613051428,-197.653706338244,-197.440163005064,-197.626513891261
2.95000000000001,199.70507291488,199.8947382541,200.318594947219,200.632756398286,200.996730874872,201.25033226821,201.578759877685,201.786479015503,202.017098150828,202.419829477285,202.331532537447,-5.97154641885367,-6.54151796025681,-6.8069695189743,-7.11733985270801,-7.31653169050439,-7.58693081100992,-7.73469261240445,-7.95283923151202,-8.08809139766775,-7.99686854013881,-8.29471742196941,-198.869250362625,-198.977109898588,-198.820638953248,-198.746713364661,-198.595293007023,-198.542117893283,-198.389753500947,-198.344217358724,-198.245796022305,-197.952721324535,-198.125526849896
