"Time [ms]","Moving1.Torque [NewtonMeter] - b='0.7'","Moving1.Torque [NewtonMeter] - b='0.72'","Moving1.Torque [NewtonMeter] - b='0.74'","Moving1.Torque [NewtonMeter] - b='0.76'","Moving1.Torque [NewtonMeter] - b='0.78'","Moving1.Torque [NewtonMeter] - b='0.8'","Moving1.Torque [NewtonMeter] - b='0.82'","Moving1.Torque [NewtonMeter] - b='0.84'","Moving1.Torque [NewtonMeter] - b='0.86'","Moving1.Torque [NewtonMeter] - b='0.88'","Moving1.Torque [NewtonMeter] - b='0.9'"
6.76999999999989,146.310714805073,150.555449036725,154.405056669079,157.53787982112,160.674684920513,163.602600610262,166.047707897244,168.340006832433,170.510630389458,172.39581935614,173.755616715517
6.77999999999989,145.717128808381,149.955406329623,153.741858906416,156.895415340665,160.042386290301,162.931606416229,165.373933045267,167.660484557257,169.830919022702,171.595552882885,173.00695844249
6.78999999999989,145.147926086095,149.365012185868,153.104028271126,156.244914515765,159.427141322509,162.269982849048,164.713968789021,166.997811962296,169.167085912179,170.73582761909,172.23130234664
6.79999999999989,144.575462975,148.764076295798,152.496424023764,155.621733864946,158.818373551205,161.634577137463,164.083477532897,166.365234148166,168.533538013488,169.949197877303,171.506113230869
6.80999999999989,143.934600431447,148.152868603971,151.911605868288,155.059304745608,158.184171992304,161.040175915274,163.526787167397,165.799711651948,167.969025209116,169.630451435827,171.073905018557
6.81999999999989,143.299171791379,147.523069370097,151.328221152854,154.501130895584,157.565629193413,160.46042101887,162.969943336808,165.238270809483,167.405553981671,169.250142395688,170.603841063385
6.82999999999989,142.688330544331,146.900915426208,150.725234209477,153.939121831553,156.957636082815,159.881119384666,162.409007763144,164.67739707118,166.843016801314,168.800948136838,170.09127571261
6.83999999999989,142.106407154295,146.304895884402,150.133700837961,153.370581915853,156.367994828637,159.301082665209,161.842124843156,164.113829399597,166.279684713489,168.283003855946,169.5341583237
6.84999999999989,141.552474180368,145.743083781263,149.545587382483,152.804449201457,155.799015298406,158.727063179325,161.273717862029,163.552010038933,165.718141977017,167.707429283809,168.948367630739
6.85999999999989,141.011263564157,145.18975186658,148.942073794774,152.231102596217,155.223691816575,158.150886384653,160.70092903079,162.984282378527,165.150362379744,167.076513517051,168.320400605098
