"Time [ms]","InducedVoltage(PhaseA) [V]","InducedVoltage(PhaseB) [V]","InducedVoltage(PhaseC) [V]"
75.8000000000033,-158.900887545149,233.396539791768,-73.9316988409677
75.8100000000033,-160.016904776589,233.086827272258,-72.5084919546259
75.8200000000033,-161.12563574186,232.766408842906,-71.0817494293747
75.8300000000033,-162.227177459823,232.436125412568,-69.6521502212444
75.8400000000033,-163.32152692804,232.096148532915,-68.2199208829393
75.8500000000033,-164.408679839917,231.746630683029,-66.7851435048827
75.8600000000033,-165.488788446411,231.387831075017,-65.3478989110334
75.8700000000033,-166.5621601185,231.020103929666,-63.9082772047717
75.8800000000033,-167.629180796636,230.643700050225,-62.466331716815
75.8900000000033,-168.690825588058,230.258086685871,-61.0224028112838
75.9000000000033,-169.746660553577,229.863789380738,-59.5760807486634
75.9100000000033,-170.79699400146,229.461041190722,-58.1277568894867
75.9200000000033,-171.841874175566,229.049814443501,-56.6774239239953
75.9300000000033,-172.881185593871,228.630177416961,-55.2249496903967
75.9400000000033,-173.914687914195,228.201970793665,-53.7702328097911
75.9500000000033,-174.942211226181,227.765160900423,-52.3131542702282
75.9600000000032,-175.963439142335,227.319797263166,-50.8536307642693
75.9700000000032,-176.94054863171,226.843129503913,-49.3903346793389
75.9800000000032,-177.938919397247,226.374317825886,-47.9265077875213
75.9900000000032,-178.936810424202,225.900414162755,-46.4616889456648
76.0000000000032,-179.927818622996,225.417662956943,-44.9957347938346
76.0100000000032,-180.911437802775,224.925818753321,-43.5284583382212
76.0200000000032,-181.887130642192,224.424657388292,-42.0595800583401
76.0300000000032,-182.854471850943,223.914089416366,-40.5888927490716
76.0400000000032,-183.813250276796,223.394050786857,-39.1163613731427
76.0500000000032,-184.763495669216,222.86540598313,-37.6426349806669
76.0600000000032,-185.705454466242,222.326435218728,-36.1659951480076
76.0700000000032,-186.63960732212,221.778014213314,-34.6878236370751
76.0800000000032,-187.566397733013,221.220676277084,-33.2084734601334
76.0900000000032,-188.486154375067,220.654698123088,-31.7280513106477
76.1000000000032,-189.399072798513,220.080278356663,-30.2467343283708
76.1100000000032,-190.305232761398,219.497552027412,-28.7645782636792
76.1200000000032,-191.20461718875,218.906539471045,-27.2812838169434
76.1300000000032,-192.099294262704,218.307656365282,-25.798824540646
76.1400000000032,-192.984799918508,217.699630382712,-24.3141527239921
76.1500000000032,-193.861570992268,217.082389472667,-22.8284117311628
76.1600000000032,-194.729945095343,216.4561013587,-21.3419778273494
76.1700000000032,-195.589995234818,215.820838111108,-19.8549109653445
76.1800000000032,-196.44196333338,215.176815104337,-18.3672641447419
76.1900000000032,-197.286215821468,214.52430776715,-16.8790355827897
76.2000000000032,-198.123157472152,213.863574033576,-15.3901374765342
76.2100000000032,-198.954087026831,213.19437542964,-13.9007628018106
76.2200000000031,-199.777019676456,212.517374884899,-12.4112262267606
76.2300000000031,-200.592863669938,211.832620617527,-10.921496358568
76.2400000000031,-201.401854675803,211.140018580949,-9.43142444031486
76.2500000000031,-202.203885386154,210.439519228622,-7.94077172160956
76.2600000000031,-202.998824409192,209.730997639351,-6.44924785095369
76.2700000000031,-203.786582278864,209.014320774806,-4.95658687183487
76.2800000000031,-204.567124041788,208.289385501903,-3.46262236888828
76.2900000000031,-205.30222915314,207.542303695071,-1.97307160409998
76.3000000000031,-206.054421942237,206.797979269016,-0.480709297218107
76.3100000000031,-206.807771961906,206.048872396777,1.01232747874991
76.3200000000031,-207.553408785657,205.291445523942,2.50477211690692
76.3300000000031,-208.29079859648,204.525459785135,3.9965579640866
76.3400000000031,-209.019412926778,203.750789046472,5.48778249359061
76.3500000000031,-209.738814345742,202.967435740664,6.9785865092431
76.3600000000031,-210.448776583566,202.175513528918,8.46910954803159
76.3700000000031,-211.151198736351,201.375270587853,9.95944722261277
76.3800000000031,-211.843013265384,200.566750294731,11.4500386993066
76.3900000000031,-212.525338066966,199.750195095205,12.9400704319105
76.4000000000031,-213.199155799171,198.92587727757,14.4293786423499
76.4100000000031,-213.864872089581,198.094003698621,15.917957125966
76.4200000000031,-214.522729091304,197.254681658537,17.4057941295436
76.4300000000031,-215.17282493542,196.407950704841,18.8929949973993
76.4400000000031,-215.815169305975,195.553817492156,20.3796540794776
76.4500000000031,-216.451919304619,194.691867092006,21.8647331679866
