"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
37.3000000000007,-23.7024388149945,19.6123959981747,6.1953157053569
37.3100000000008,-23.7382841351174,19.5143439348039,6.34951103433965
37.3200000000008,-23.7735576113691,19.4148665360956,6.50285862140485
37.3300000000008,-23.8079898911592,19.313870841333,6.6551851883841
37.3400000000008,-23.841341116983,19.2113266135697,6.80628951416051
37.3500000000008,-23.8728993345093,19.1068191787902,6.95627216081759
37.3600000000008,-23.9028820902831,19.0010209747978,7.10538181778208
37.3700000000008,-23.9318522246382,18.8939851265847,7.25425229287213
37.3800000000008,-23.9602808383901,18.7857269536093,7.40308483129974
37.3900000000008,-23.9884719603411,18.6762331713298,7.5518536979583
37.4000000000008,-24.0165230611895,18.5654315458891,7.70038893652159
37.4100000000008,-24.0443347062391,18.4532268868909,7.84833473628985
37.4200000000008,-24.071733353254,18.339528150714,7.99524191533952
37.4300000000008,-24.1002016477082,18.2243451405471,8.14163222738186
37.4400000000008,-24.1270152675564,18.1079377840574,8.28793814916491
37.4500000000008,-24.1517079126541,17.9903217144446,8.43425343934161
37.4600000000008,-24.1739623014045,17.8715333949925,8.58046254193031
37.4700000000008,-24.1936376599064,17.7516106678425,8.72624353533838
37.4800000000008,-24.2107629041683,17.6306212885187,8.87109471202258
37.4900000000008,-24.2254527288157,17.5086306311172,9.01444818350266
37.5000000000008,-24.2378724187894,17.3857347927488,9.15561814172289
37.5100000000008,-24.2725551716455,17.2595334902493,9.30355809270555
37.5200000000008,-24.3022959909387,17.1323092175301,9.44871844113581
37.5300000000008,-24.3273817507134,17.0039147880207,9.59165219197546
37.5400000000008,-24.3483238486147,16.8742703386875,9.7329403501236
37.5500000000008,-24.3658409419929,16.7433813783108,9.87313858421119
37.5600000000008,-24.3808027619113,16.6113133329789,10.0127089910174
37.5700000000008,-24.3941142246562,16.4781369382202,10.1519625652147
37.5800000000008,-24.4065982962712,16.3439228830504,10.2910082115944
37.5900000000008,-24.4187660843883,16.2079897632622,10.4287020191115
37.6000000000008,-24.4312452647215,16.0712973259188,10.5659088702669
37.6100000000008,-24.4441822554087,15.9337289704324,10.7030483615394
37.6200000000008,-24.4573158260825,15.7951408242488,10.8402482258401
37.6300000000009,-24.4702639335984,15.655423803958,10.9774236543852
37.6400000000009,-24.4825810203237,15.5145444304424,11.1143324225042
37.6500000000009,-24.4939110105304,15.3726417810511,11.2507236189875
37.6600000000009,-24.5040091612229,15.229882929128,11.3863794928925
37.6700000000009,-24.5117801451923,15.0855697123721,11.520544726545
37.6800000000009,-24.518153299123,14.9406939214527,11.6538072648211
37.6900000000009,-24.5236228146535,14.7953318439165,11.786621503684
37.7000000000009,-24.5285986480094,14.6495153208414,11.9192944935276
37.7100000000009,-24.533310490943,14.5032562122346,12.0520048053017
37.7200000000009,-24.5377668862363,14.3564866878703,12.1847197117349
37.7300000000009,-24.5417544521063,14.2089909857023,12.3171896224752
37.7400000000009,-24.5449337306631,14.0604967217638,12.4489701501337
37.7500000000009,-24.5473756888694,13.9110882928544,12.5804530502761
37.7600000000009,-24.5485022705782,13.7602865161072,12.711230144325
37.7700000000009,-24.547955702001,13.6081002259296,12.8409979758717
37.7800000000009,-24.5455081307601,13.4547219712609,12.9694075554143
37.7900000000009,-24.5410722108724,13.3005066213591,13.096085456134
37.8000000000009,-24.5346585923624,13.1459610491982,13.2206559802149
37.8100000000009,-24.5263550484408,12.9916491078791,13.3427548189687
37.8200000000009,-24.5163095949918,12.8381895337555,13.4620276784979
37.8300000000009,-24.5220017416364,12.6784596486945,13.5961283942254
37.8400000000009,-24.5246395290383,12.5182091726523,13.7274668621325
37.8500000000009,-24.5234218614173,12.3577173329698,13.855554374708
37.8600000000009,-24.5187187901817,12.1969224829205,13.980964567851
37.8700000000009,-24.5110963632187,12.0357616962954,14.1043095317641
37.8800000000009,-24.5012535638329,11.8742059784053,14.226197010279
37.8900000000009,-24.4899352023804,11.7121432994463,14.3471496974119
37.9000000000009,-24.4777974642745,11.5494896537622,14.4675404284996
37.9100000000009,-24.464064245758,11.3866135675586,14.5863936208104
37.9200000000009,-24.450454037368,11.2228846274717,14.7050752435039
37.9300000000009,-24.4371371025315,11.0581259932314,14.8239834432852
37.9400000000009,-24.4238632538193,10.8922516307405,14.9430936827937
37.9500000000009,-24.4102281500041,10.7252577374952,15.0621355010799
37.960000000001,-24.3958045892566,10.5572013897814,15.1807096510008
37.970000000001,-24.380276991994,10.3882422401477,15.298372705961
37.980000000001,-24.3634336269137,10.218611214556,15.4147087347827
37.990000000001,-24.3451091199064,10.0480779533999,15.5292663570522
38.000000000001,-24.3254795615857,9.87713899548805,15.6423528511633
38.010000000001,-24.3049622047168,9.70570983076214,15.7545563572654
38.020000000001,-24.2839096986512,9.53368896011941,15.8663863351318
38.030000000001,-24.262518362815,9.36098290738856,15.9781868429657
38.040000000001,-24.2407549808357,9.18752052206463,16.0900627097401
38.050000000001,-24.2183531838994,9.01328575881693,16.2018336750854
38.060000000001,-24.1948838667798,8.83834367279882,16.3130749473745
38.070000000001,-24.1698515149899,8.66203011612749,16.422994491198
38.080000000001,-24.143290144456,8.48509015498892,16.5320021599966
38.090000000001,-24.1150512113613,8.30772561657867,16.639692773921
38.100000000001,-24.0850730162155,8.13015734611557,16.7455786921768
38.110000000001,-24.0533923976136,7.95268151416509,16.8491818597663
38.120000000001,-24.0201197037696,7.77568577710707,16.9500506258626
38.130000000001,-23.9854187990988,7.59963072349086,17.0477704728415
38.140000000001,-23.9494528510075,7.42499557557803,17.1419729504022
38.150000000001,-23.9200245953113,7.24522600662581,17.2546481277171
38.160000000001,-23.887652137623,7.06587887730966,17.3654502840711
38.170000000001,-23.851766359761,6.88738049342669,17.4721191603844
38.180000000001,-23.8130192681593,6.70945260275646,17.5751579046408
38.190000000001,-23.7721557969746,6.53184633200255,17.6752486477619
38.200000000001,-23.7299455394094,6.35435455350993,17.7732050267311
38.210000000001,-23.6870724726993,6.17685166240362,17.8698483008389
38.220000000001,-23.6439989073271,5.99928906122554,17.9658202699988
38.230000000001,-23.5999658228415,5.82131931282124,18.0605124632373
38.240000000001,-23.5557343341747,5.64330031240951,18.155237483407
38.250000000001,-23.5114190556289,5.46508176155466,18.2503721360948
38.260000000001,-23.4667919838341,5.28654836923722,18.3458213435683
38.270000000001,-23.4215194529255,5.10765462879663,18.4412660222777
38.280000000001,-23.3753370749656,4.92842991224482,18.5362888619741
38.2900000000011,-23.3280987169217,4.74898185022193,18.6304744998601
38.3000000000011,-23.2797875475696,4.56951226519451,18.7234373738301
38.3100000000011,-23.229550857031,4.38943949958613,18.8140690742707
38.3200000000011,-23.1780896225705,4.20984900256479,18.9035019340202
38.3300000000011,-23.1257650304443,4.03196671801348,18.9923399089668
38.3400000000011,-23.0728221408872,3.85609016199846,19.0809914539985
38.3500000000011,-23.0194433355034,3.68170555075486,19.1696183244972
38.3600000000011,-22.965616332411,3.50856001471837,19.2581449105532
38.3700000000011,-22.9111415034688,3.33652157010208,19.3461673927193
38.3800000000011,-22.8556983220293,3.16556335464101,19.4330639791386
38.3900000000011,-22.7980433419331,2.9953291677634,19.5189069890883
38.4000000000011,-22.7390784225042,2.82551041107587,19.6038093001202
38.4100000000011,-22.6790565063413,2.65597218720223,19.6876117974703
38.4200000000011,-22.6181543890659,2.48678214450219,19.7701665896772
38.4300000000011,-22.5566826567429,2.31810103054745,19.8512759353172
38.4400000000011,-22.4950172292118,2.15008085450807,19.9307245575132
38.4500000000011,-22.4335354314407,1.98296570297254,20.0081948707075
38.4600000000011,-22.3725246120905,1.81710512727545,20.0834956884005
38.4700000000011,-22.3187592888767,1.6468175528646,20.1662582351549
38.4800000000011,-22.2641816884646,1.47806943596245,20.2472486838412
