Time [ms],Moving1.Torque [NewtonMeter] - a='15mm',Moving1.Torque [NewtonMeter] - a='20mm',Moving1.Torque [NewtonMeter] - a='25mm',Moving1.Torque [NewtonMeter] - a='30mm',Moving1.Torque [NewtonMeter] - a='35mm',Moving1.Torque [NewtonMeter] - a='40mm',Moving1.Torque [NewtonMeter] - a='45mm',Moving1.Torque [NewtonMeter] - a='50mm',Moving1.Torque [NewtonMeter] - a='55mm',Moving1.Torque [NewtonMeter] - a='60mm',Moving1.Torque [NewtonMeter] - a='65mm',Moving1.Torque [NewtonMeter] - a='70mm',Moving1.Torque [NewtonMeter] - a='75mm'
0.86,26.19366603,27.15267292,28.1274495,29.52483947,30.98712725,32.54795162,34.64700003,35.46038705,38.17473708,41.89230511,46.75840932,53.11615786,64.36110164
0.87,26.87220684,27.83318987,28.83374152,30.23089828,31.68099804,33.31613396,35.4032809,35.9525896,38.6867174,42.41666254,47.46521536,53.82827169,65.18697288
0.88,27.54514979,28.51141146,29.52069803,30.92104741,32.37765472,34.0650046,36.15640249,36.48370285,39.22102858,42.98303802,48.19916531,54.57468123,66.04266339
0.89,28.22213945,29.19992645,30.20536807,31.6096858,33.1136222,34.74265114,36.87268841,37.04020595,39.80331658,43.59121406,48.97881907,55.38075103,66.92643474
0.9,28.84628523,29.8308553,30.84219486,32.26213445,33.79941343,35.40380899,37.5657968,37.57471475,40.35901209,44.17541719,49.71958062,56.17084464,67.7642589
0.91,29.45033252,30.43767128,31.45322097,32.89046293,34.44180614,36.04960483,38.23314603,38.08193664,40.88206661,44.73528152,50.4355307,56.93296916,68.57826322
0.92,30.06890718,31.04645103,32.07400092,33.51888958,35.06862629,36.6916574,38.89048893,38.56694649,41.37500573,45.27496371,51.12772578,57.66718555,69.39268762
0.93,30.69011425,31.68011198,32.72096133,34.16120956,35.70314167,37.34445093,39.54899404,39.04640786,41.86964933,45.80536324,51.81105355,58.38755844,70.2033439
0.94,31.35594873,32.35710834,33.4057173,34.85159591,36.38441665,38.04085928,40.25364692,39.57408362,42.40941138,46.38889874,52.53351128,59.14252037,71.06261184
0.95,32.06992558,33.04950354,34.13214906,35.58062189,37.09625647,38.77382177,40.98461702,40.1358078,42.9839193,46.99883875,53.28417603,59.91637664,71.94106759
